"term","count","relative"
"mqsicreateconfigurableservice","12700","0.137775415224726"
"mqsichangeproperties","7100","0.0770240510311459"
"mqsisetdbparms","5060","0.0548931969320561"
"mqsistart","4710","0.0510962366699574"
"mqsicreatebroker","4590","0.0497944217229521"
"mqsicreateexecutiongroup","4250","0.0461059460397704"
"mqsireportproperties","4230","0.0458889768819362"
"mqsilist","3780","0.0410071708306664"
"mqsichangebroker","3570","0.0387289946734072"
"mqsistop","3280","0.0355829418848111"
"mqsiapplybaroverride","2240","0.024300545677432"
"mqsideploy","2090","0.0226732769936753"
"mqsiformatlog","1830","0.0198526779418306"
"mqsichangetrace","1820","0.0197441933629135"
"mqsicvp","1710","0.0185508629948253"
"mqsireadbar","1700","0.0184423784159082"
"mqsireadlog","1440","0.0156217793640634"
"mqsireload","1330","0.0144284489959752"
"mqsichangeresourcestats","1330","0.0144284489959752"
"mqsichangeflowstats","1310","0.014211479838141"
"mqsideleteconfigurableservice","1150","0.0124757265754673"
"mqsiwebuseradmin","1080","0.0117163345230475"
"mqsisetsecurity","1060","0.0114993653652133"
"mqsistopmsgflow","1010","0.0109569424706278"
"mqsimigratecomponents","988","0.0107182763970102"
"mqsichangeflowmonitoring","985","0.010685731023335"
"mqsideletebroker","982","0.0106531856496599"
"mqsireportflowstats","974","0.0105663979865262"
"mqsicacheadmin","973","0.0105555495286345"
"mqsistartmsgflow","955","0.0103602772865837"
"mqsipackagebar","903","0.00979615747621476"
"mqsireportresourcestats","894","0.00969852135518936"
"mqsideleteexecutiongroup","789","0.00855943327655974"
"mqsimode","783","0.00849434252920947"
"mqsireloadsecurity","772","0.00837500949240066"
"mqsibackupbroker","720","0.0078108896820317"
"mqsireportbroker","717","0.00777834430835657"
"mqsichangeflowuserexits","679","0.00736610290847156"
"mqsireportflowmonitoring","657","0.00712743683485393"
"mqsirestorebroker","634","0.00687792230334458"
"mqsireporttrace","597","0.00647652936135128"
"mqsiaddbrokerinstance","564","0.00611853025092483"
"mqsiexplain","492","0.00533744128272166"
"mqsicommandconsole","444","0.00481671530391955"
"mqsicreatepolicy","443","0.00480586684602784"
"mqsireportflowuserexits","434","0.00470823072500244"
"mqsireportpolicy","342","0.00371017259896506"
"mqsichangepolicy","339","0.00367762722528992"
"mqsiremovebrokerinstance","316","0.00342811269378058"
"mqsiAssemblyInstall","215","0.0023324184467178"
"mqsiattachpolicy","205","0.00222393386780069"
"mqsidetachpolicy","7","7.59392052419749E-05"
"mqsideletepolicy","6","6.50907473502642E-05"
