"term","count","relative"
"Output node","538000","0.412451433460391"
"Input node","361000","0.276756445128627"
"Check node","114000","0.0873967721458821"
"Label node","57500","0.0440817052490195"
"JavaCompute node","38300","0.0293622488876078"
"Mapping node","35700","0.0273689891719999"
"Route node","27300","0.0209292270138823"
"Trace node","15800","0.0121128859640784"
"Validate node","9600","0.00735972818070586"
"MQInput node","5810","0.00445416882603136"
"TimeoutNotification node","5420","0.00415517986869018"
"TimeoutControl node","5400","0.00413984710164705"
"HTTPInput node","4650","0.0035648683375294"
"MQOutput node","4240","0.00325054661314509"
"Publication node","4170","0.00319688192849411"
"ResetContentDescriptor node","3850","0.00295155765580391"
"HTTPRequest node","3700","0.00283656190298038"
"SOAPRequest node","3480","0.00266790146550587"
"JMSInput node","2220","0.00170193714178823"
"Throw node","2150","0.00164827245713725"
"TryCatch node","2140","0.00164060607361568"
"SOAPInput node","2080","0.00159460777248627"
"MQGet node","1950","0.00149494478670588"
"FileOutput node","1780","0.00136461626683921"
"FileInput node","1720","0.0013186179657098"
"AggregateReply node","1680","0.00128795243162353"
"SOAPReply node","1560","0.0011959558293647"
".NETCompute node","1500","0.00114995752823529"
"SAPInput node","1440","0.00110395922710588"
"SOAPExtract node","1230","0.000942965173152938"
"JMSOutput node","1220","0.00093529878963137"
"Passthrough node","1190","0.000912299639066664"
"EmailInput node","1120","0.000858634954415684"
"LoopBackRequest node","1020","0.000781971119199998"
"AggregateRequest node","994","0.000762038522043919"
"TCPIPClientInput node","981","0.00075207222346588"
"MQTTPublish node","973","0.000745939116648625"
"EndpointLookup node","948","0.000726773157844704"
"CDInput node","936","0.000717573497618821"
"HTTPReply node","928","0.000711440390801566"
"TCPIPClientOutput node","896","0.000686907963532547"
"SecurityPEP node","865","0.000663142174615684"
"FTEInput node","863","0.000661608897911371"
"MQReply node","861","0.000660075621207057"
"IMSRequest node","848","0.000650109322629018"
"JMSMQTransform node","838","0.000642442939107449"
"JMSReply node","838","0.000642442939107449"
"FTEOutput node","836","0.000640909662403135"
"TCPIPServerInput node","806","0.000617910511838429"
"RouteToLabel node","805","0.000617143873486273"
".NETInput node","805","0.000617143873486273"
"XSLTransform node","801","0.000614077320077645"
"SAPRequest node","791","0.000606410936556077"
"SOAPAsyncResponse node","788","0.000604111021499606"
"EmailOutput node","781","0.000598744553034508"
"CDOutput node","776","0.000594911361273724"
"SCARequest node","775","0.000594144722921567"
"TCPIPClientReceive node","774","0.00059337808456941"
"SAPReply node","744","0.000570378934004704"
"RegistryLookup node","727","0.000557346082018037"
"MQJMSTransform node","719","0.000551212975200783"
"DatabaseRoute node","718","0.000550446336848626"
"CORBARequest node","712","0.000545846506735685"
"TCPIPServerOutput node","709","0.000543546591679214"
"SOAPEnvelope node","705","0.000540480038270587"
"MQHeader node","698","0.000535113569805489"
"TCPIPServerReceive node","692","0.000530513739692547"
"SCAInput node","680","0.000521314079466665"
"SOAPAsyncRequest node","678","0.000519780802762351"
"SiebelInput node","662","0.000507514589127842"
"MQOptimizedFlow node","660","0.000505981312423528"
"AggregateControl node","658","0.000504448035719214"
"DatabaseInput node","635","0.000486815353619606"
"HTTPHeader node","627","0.000480682246802351"
"PeopleSoftInput node","625","0.000479148970098038"
"CICSRequest node","623","0.000477615693393724"
"SiebelRequest node","605","0.000463816203054901"
"KafkaConsumer node","598","0.000458449734589802"
"KafkaProducer node","597","0.000457683096237646"
"FlowOrder node","592","0.000453849904476861"
"JMSReceive node","583","0.00044695015930745"
"SCAReply node","579","0.000443883605898822"
"DatabaseRetrieve node","561","0.000430084115559999"
"SCAAsyncResponse node","545","0.000417817901925489"
"SCAAsyncRequest node","540","0.000413984710164705"
"HTTPAsyncResponse node","536","0.000410918156756077"
"HTTPAsyncRequest node","536","0.000410918156756077"
"RESTRequest node","462","0.000354186918696469"
"MQTTSubscribe node","412","0.000315855001088626"
"CallableFlowInvoke node","243","0.000186293119574117"
"CallableFlowAsyncInvoke node","217","0.000166360522418039"
"JDEdwardsInput node","16","1.22662136345098E-05"
"JDEdwardsRequest node","14","1.0732936930196E-05"
"PeopleSoftRequest node","14","1.0732936930196E-05"
"CallableReply node","9","6.89974516941174E-06"
"RESTAsyncResponse node","9","6.89974516941174E-06"
"CallableInput node","8","6.13310681725488E-06"
"RESTAsyncRequest node","7","5.36646846509802E-06"
"CallableFlowAsyncResponse node","6","4.59983011294116E-06"
"JMSHeader node","5","3.8331917607843E-06"
"AppConnectRESTRequest node","3","2.29991505647058E-06"
