"term","count","relative"
"mqrc","51300","0.138933650380104"
"runmqsc","23200","0.062831592374628"
"strmqm","15800","0.0427904810137552"
"strmqcsv","14800","0.0400822227217454"
"runmqchl","14200","0.0384572677465395"
"crtmqm","13900","0.0376447902589366"
"setmqaut","13100","0.0354781836253287"
"dspmqtrc","12400","0.0335824028209218"
"dspmqtrn","11800","0.0319574478457159"
"endmqm","10700","0.0289783637245051"
"dspmq","9180","0.0248618111206502"
"crtmqcvx","8250","0.0223431309090811"
"runmqlsr","7620","0.0206369281851149"
"dspmqver","6860","0.0185786518831874"
"strmqcfg","6260","0.0169536969079815"
"runmqtmc","6120","0.0165745407471001"
"MQExplorer","5990","0.0162224671691389"
"runmqchi","5930","0.0160599716716183"
"dltmqm","5420","0.0146787599426933"
"endmqtrc","5140","0.0139204476209305"
"dmpmqlog","5090","0.01378503470633"
"strmqbrk","4680","0.012674648806606"
"dspmqcsv","4540","0.0122954926457246"
"setmqenv","4310","0.0116725932385623"
"rsvmqtrn","4260","0.0115371803239619"
"dspmqfls","4170","0.011293437077681"
"dspmqrte","4140","0.0112121893289207"
"endmqcsv","4120","0.0111580241630805"
"mqconfig","4100","0.0111038589972403"
"setmqprd","4000","0.0108330331680393"
"dspmqspl","3610","0.00977681243415547"
"dspmqaut","3300","0.00893725236363242"
"runswchl","3020","0.00817894004186967"
"strmqtrc","3010","0.00815185745894957"
"runmqsfb","2940","0.00796227937850889"
"endmqlsr","2910","0.00788103162974859"
"rdqmdr","2860","0.0077456187151481"
"runmqtrm","2850","0.007718536132228"
"runmqccred","2800","0.00758312321762751"
"runmqbcb","2730","0.00739354513718682"
"dmpmqaut","2700","0.00731229738842653"
"rdqmint","2690","0.00728521480550643"
"dmpmqcfg","2640","0.00714980189090594"
"setmqinst","2490","0.00674356314710447"
"rcdmqimg","2410","0.00652690248374368"
"runmqdlq","2300","0.0062289940716226"
"amqmdain","2190","0.00593108565950152"
"rcrmqobj","1840","0.00498319525729808"
"setmqm","1610","0.00436029585013582"
"addmqinf","1550","0.00419780035261523"
"crtmqenv","1480","0.00400822227217454"
"dspmqinst","1450","0.00392697452341425"
"dspmqinf","1380","0.00373739644297356"
"dmpmqmsg","1380","0.00373739644297356"
"runmqras","1340","0.00362906611129317"
"setmqspl","1250","0.00338532286501228"
"amqmfsck","1130","0.0030603318699711"
"setmqscp","1100","0.00297908412121081"
"rmvmqinf","1020","0.00276242345785002"
"crtmqinst","994","0.00269200874225777"
"setmqcrl","974","0.00263784357641757"
"setmqweb","967","0.0026188857683735"
"runmqdnm","965","0.00261346925178948"
"strmqsvc","948","0.00256742886082531"
"endmqdnm","870","0.00235618471404855"
"endmqsvc","864","0.00233993516429649"
"dltmqinst","817","0.00221264702457203"
"endmqweb","810","0.00219368921652796"
"dspmqweb","788","0.00213410753410374"
"strmqweb","760","0.00205827630192747"
"mqcertck","756","0.00204744326875943"
"rdqmadm","749","0.00202848546071536"
"rdqmstatus","735","0.00199056984462722"
"migmqlog","659","0.00178474221443448"
"crtmqdir","620","0.00167912014104609"
"setmqxacred","605","0.00163849626666594"
